in-card__title,nd-figure__content,in-realEstateListCard__priceOnTop,nd-list
"Appartamento all'asta viale Marche , 40, Milano",,"da € 197.533,00",130/10/202352m²1
"Bilocale ottimo stato, secondo piano, Navigli - Darsena, Milano",,€ 260.000,270m²12
"Palazzo - Edificio via Benedetto Diotti, Baggio, Milano",,€ 2.500.000,5+3.300m²
"Palazzo - Edificio buono stato, Milano",,€ 2.500.000,5+3.300m²
"Trilocale via Arcivescovo Romilli 15, Corvetto, Milano",,€ 330.000,380m²12
"Bilocale via degli Artaria 9, Affori, Milano",,€ 249.000,270m²11
"Bilocale via Staro 4, Udine, Milano",,€ 219.000,260m²1T
"Monolocale via Marcantonio dal Re 16, Certosa, Milano",,€ 150.000,130m²13
"Bilocale via Mecenate 2, Viale Ungheria - Mecenate, Milano",,€ 160.000,230m²13
"Trilocale via Torquato Taramelli, Isola, Milano",,€ 465.000,390m²12
"Quadrilocale via Vallazze 50, Città Studi, Milano",,€ 700.000,4150m²2R
"Trilocale via Monte Rotondo 10, Niguarda, Milano",,€ 299.000,387m²13
"Bilocale via Antonio Cesari 47, Niguarda, Milano",,€ 225.000,255m²12
"Trilocale viale Ungheria 1, Viale Ungheria - Mecenate, Milano",,€ 238.000,383m²16
"Bilocale piazza dei Daini 4, Bicocca, Milano",,€ 308.000,266m²13
"Trilocale viale Dell' Innovazione 22, Bicocca, Milano",,€ 810.000,3150m²21
"Monolocale via Rosolino Pilo 8, Porta Venezia, Milano",,€ 235.000,128m²13
"Appartamento in villa via Selvanesco 30, Chiesa Rossa, Milano",,€ 538.000,5225m²2
"Bilocale via Ruggero Leoncavallo 15, Parco Trotter, Milano",,€ 195.000,255m²13
"Bilocale via Cinque Maggio 23, Quarto Oggiaro, Milano",,€ 149.000,260m²1T
"Bilocale via Giuseppe Giusti 28, Paolo Sarpi, Milano",,€ 360.000,253m²11
"Loft via Cevedale, Dergano, Milano",,€ 500.000,4270m²1T
"Trilocale via Mario Borsa 4, Gallaratese, Milano",,€ 255.000,391m²18
"Trilocale via Luigi Zoja 1, Quarto Cagnino, Milano",,€ 399.000,3114m²12
"Trilocale via Osteno 2, San Carlo, Milano",,€ 279.000,387m²11
"Bilocale via carnevali antonio 43, Dergano, Milano",,€ 289.000,262m²12
"Bilocale via Tellini 6, Cenisio, Milano",,€ 430.000,284m²12
"Quadrilocale viale regina giovanna 9, Morgagni, Milano",,€ 1.600.000,4200m²3+6
"Trilocale via Orti 31, Quadronno - Crocetta, Milano",,€ 650.000,392m²15
"Trilocale viale San Gimignano 4, Lorenteggio, Milano",,€ 410.000,395m²18
"Bilocale via Console Marcello 18/5, Bovisa, Milano",,€ 165.000,236m²16
"Trilocale via Carlo Imbonati, Dergano, Milano",,€ 420.000,370m²13
"Bilocale via Accademia 61, Casoretto, Milano",,€ 333.000,253m²13
"Bilocale viale Abruzzi, 33, 20129 Milano Italia, Buenos Aires, Milano",,€ 315.000,248m²11
"Trilocale viale Luigi Torelli, Farini, Milano",,€ 559.000,3100m²15
"Bilocale via Astolfo 12, Città Studi, Milano",,€ 358.000,260m²11
"Bilocale via Astolfo 12, Città Studi, Milano",,€ 378.000,267m²11
"Appartamento via Santa Sofia 27, Ticinese, Milano",,€ 1.790.000,5185m²35
"Trilocale via Romeo Frassinetti, San Siro, Milano",,€ 432.000,386m²1R
"Trilocale via Pisanello, 4, Gambara, Milano",,€ 535.000,390m²24
"Trilocale via G. Parini 9, Porta Nuova, Milano",,€ 720.000,372m²15
"Trilocale via Teodosio 82, Casoretto, Milano",,€ 460.000,395m²23
"Quadrilocale via Francesco Caracciolo, Cenisio, Milano",,€ 650.000,4113m²14
"Bilocale via Romeo Frassinetti, San Siro, Milano",,€ 336.000,267m²1R
"Trilocale viale delle Rimembranze di Greco 39, Cascina dei Pomi, Milano",,€ 348.000,383m²12
"Bilocale via Parenzo 8, Tre Castelli - Faenza, Milano",,€ 190.000,241m²12
"Appartamento all'asta viale Mar Jonio 9, Milano",,"da € 75.000,00",14/11/2023
"Trilocale via Giovanni Ansaldo, Bignami - Ponale, Milano",,€ 439.000,390m²13
"Appartamento all'asta via Lampugnano 144, Milano",,"da € 1.129.000,00",20/11/2023
"Bilocale via Francesco Caracciolo, Cenisio, Milano",,€ 319.000,250m²11
"Quadrilocale via Giovanni Scheiwiller, Lodi - Brenta, Milano",,€ 694.000,4130m²23
"Bilocale via Sarpi, Paolo Sarpi, Milano",,€ 364.000,255m²15
"Trilocale via Mincio, Corvetto, Milano",,€ 347.000,390m²12
"Trilocale via Nervesa, Lodi - Brenta, Milano",,€ 530.000,377m²21
"Appartamento all'asta via Marco Aurelio 42, Milano",,"da € 100.000,00",30/11/2023
"Bilocale corso Lodi, 54, Lodi - Brenta, Milano",,€ 229.000,230m²12
"Bilocale via Binda, Barona, Milano",,€ 165.000,235m²11
"Appartamento all'asta via Bardolino 30, Milano",,"da € 111.000,00",20/11/2023
"Monolocale via Correggio 12, Amendola - Buonarroti, Milano",,€ 420.000,147m²13
"Trilocale viale Lombardia  31, Città Studi, Milano",,€ 545.000,388m²12
"Appartamento all'asta via Busseto , 4, Milano",,"da € 54.525,00",206/12/202354m²4
"Appartamento all'asta via Tracia 2, Milano",,"da € 106.000,00",526/10/202380m²2
"Appartamento all'asta via Del Cardellino, 55, Milano",,"da € 152.000,00",208/11/202376m²R
"Appartamento all'asta via Edmondo de Amicis, 61, Milano",,"da € 625.000,00",516/11/2023130m²R
"Quadrilocale corso di Porta Romana, Quadronno - Crocetta, Milano",,Prezzo su richiesta,4135m²31
"Appartamento all'asta viale Certosa, 292, Milano",,"da € 122.880,00",207/11/202390m²T
"Appartamento all'asta via Carlo Marochetti 3, Milano",,"da € 145.000,00",426/10/202360m²5
"Trilocale da ristrutturare, terzo piano, Casoretto, Milano",,€ 700.000,3130m²13
"Quadrilocale via Domodossola, 21, Sempione, Milano",,€ 795.000,4122m²11
"Trilocale via San Marco, Turati, Milano",,€ 435.000,350m²11
"Appartamento all'asta, Milano",,"da € 689.250,00",5+16/01/2024188m²5
"Trilocale da ristrutturare, terzo piano, Città Studi, Milano",,€ 560.000,3110m²13
"Albergo buono stato, Corvetto, Milano",,€ 3.800.000,5+1.000m²
"Albergo ottimo stato, Portello - Parco Vittoria, Milano",,€ 10.500.000,5+4.000m²
"Attico ottimo stato, 300 m², Borgogna - Largo Augusto, Milano",,€ 5.200.000,5+300m²
"Quadrilocale via Garofalo 4, Città Studi, Milano",,€ 1.230.000,4182m²2
"Bilocale via Cadore 22, Cadore, Milano",,€ 499.000,269m²12
"Bilocale via Cadore 22, Cadore, Milano",,€ 459.000,269m²11
"Monolocale viale Sabotino 8, Porta Romana - Medaglie d'Oro, Milano",,€ 390.000,142m²1T
"Trilocale via Angelo Rizzoli 49/P, Cascina Gobba, Milano",,€ 340.000,390m²25
"Bilocale via Mecenate 2, Viale Ungheria - Mecenate, Milano",,€ 175.000,240m²13
"Bilocale piazza Greco 10, Greco - Segnano, Milano",,€ 215.000,260m²12
"Quadrilocale via Bernardo Davanzati 5, Dergano, Milano",,€ 750.000,4140m²27
"Trilocale via Filippo Corridoni 4, Guastalla, Milano",,€ 1.250.000,3126m²24
"Bilocale via vodice 13, San Siro, Milano",,€ 249.000,265m²16
"Trilocale via Adeodato Ressi, Maggiolina, Milano",,€ 530.000,391m²22
"Trilocale via Cusio 3, Farini, Milano",,€ 618.000,3120m²21
"Quadrilocale via Don Carlo Gnocchi, San Siro, Milano",,€ 710.000,4145m²24
"Trilocale via Cesare Cesariano 7, Arena, Milano",,€ 725.000,390m²21
"Trilocale via dei Guarneri 24, Vigentino - Fatima, Milano",,€ 275.000,380m²1T
"Bilocale via Giuseppe Ripamonti 211, Vigentino - Fatima, Milano",,€ 165.000,250m²15
"Trilocale via Tirso 5, Ripamonti, Milano",,€ 349.000,370m²11
"Trilocale via Palermo 14, Lanza, Milano",,€ 1.270.000,3125m²23
"Trilocale via del Ricordo 2, Ponte Nuovo, Milano",,€ 259.000,390m²14
"Trilocale via Giuseppe Ripamonti 211, Vigentino - Fatima, Milano",,€ 259.000,390m²15
"Trilocale via Ampola 20, Ripamonti, Milano",,€ 250.000,352m²12
"Monolocale via Piero Della Francesca 34, Sempione, Milano",,€ 198.000,133m²1T
"Trilocale via Belgirate 22/A, Maggiolina, Milano",,€ 430.000,385m²11
"Trilocale via Gaeta 18, Affori, Milano",,€ 519.000,3115m²24
"Trilocale via Medeghino 24, Cermenate - Abbiategrasso, Milano",,€ 259.000,380m²13
"Villa unifamiliare via Pietro Maffi, 58, 20157 Milano Italia, Bovisasca, Milano",,€ 529.000,5+189m²2
"Appartamento via Lodovico Pogliaghi 1, Giambellino, Milano",,€ 497.000,5+148m²31
"Bilocale via Negroli 14, Argonne - Corsica, Milano",,€ 329.000,275m²14
"Monolocale via Cesare da Sesto 10, Corso Genova, Milano",,€ 297.000,140m²1R
"Bilocale via Torino 73, Carrobbio, Milano",,€ 438.000,245m²13
"Bilocale via Polesine 39, Corvetto, Milano",,€ 196.000,250m²12
"Trilocale viale Pisa 12, Piazzale Siena, Milano",,€ 310.000,380m²15
"Trilocale via lucera 18, Muggiano, Milano",,€ 310.000,3110m²23
"Trilocale viale dell'Innovazione 11, Bicocca, Milano",,€ 420.000,372m²18
"Bilocale piazzale Loreto, Città Studi, Milano",,€ 325.000,248m²13
"Bilocale via Filippo Baldinucci 21, Dergano, Milano",,€ 295.000,265m²1T
"Quadrilocale via Savona 67B, Solari, Milano",,€ 890.000,4137m²28
"Bilocale corso Lodi, Lodi - Brenta, Milano",,€ 335.000,250m²15
"Trilocale via Bernardino Telesio 19, Pagano, Milano",,€ 948.000,391m²2R
"Trilocale via Tonale, Centrale, Milano",,€ 500.000,380m²24
"Trilocale via Valle Antigorio 7, Bisceglie, Milano",,€ 199.000,377m²13
"Bilocale via San Mirocle 6A, Santa Giulia, Milano",,€ 275.000,260m²14
"Quadrilocale viale Corsica 75, Porta Vittoria, Milano",,€ 699.000,4115m²27
"Quadrilocale via Odoardo Tabacchi 54, Corso San Gottardo, Milano",,€ 1.050.000,4145m²21
"Bilocale via Giovanni Cadolini 15, Lodi - Brenta, Milano",,€ 310.000,258m²12
"Appartamento in villa via Selvanesco 30, Chiesa Rossa, Milano",,€ 619.000,5258m²2
"Quadrilocale via Pompeo Mariani 4, Gorla, Milano",,€ 535.000,4166m²3
"Trilocale via Melchiorre Gioia 32, Melchiorre Gioia, Milano",,€ 680.000,3105m²17
"Quadrilocale via Baldo degli Ubaldi 14, Certosa, Milano",,€ 548.000,4130m²26
"Quadrilocale via Gianluigi Banfi 10, Gratosoglio, Milano",,€ 339.000,4112m²21
"Quadrilocale piazza Marco Agrippa 4, Cermenate - Abbiategrasso, Milano",,€ 550.000,4130m²25
"Bilocale via Romolo Gessi 49, Washington, Milano",,€ 638.000,285m²14
"Quadrilocale via Dora Baltea 1, Bruzzano, Milano",,€ 348.000,4144m²2R
"Trilocale piazzale Segrino 6, Zara, Milano",,€ 850.000,3123m²22
"Quadrilocale via Privata Orio Vergani, 20125, Maggiolina, Milano",,€ 931.500,4175m²22
"Quadrilocale via Privata Orio Vergani, 20125, Maggiolina, Milano",,€ 888.000,4155m²23
"Quadrilocale via Giuseppe Meda 15, Ascanio Sforza, Milano",,€ 540.000,496m²13
"Quadrilocale piazzale Segrino 6, Zara, Milano",,€ 850.000,4123m²22
